theme,f1,precision,recall,tp,fp,fn,tn,occurrences
Ruy_Lopez_Bird_Variation,0.015873015873015872,0.008403361344537815,0.14285714285714285,1.0,118.0,6.0,9875.0,7.0
Vienna_Game_Vienna_Gambit,0.015625000000000003,0.008130081300813009,0.2,1.0,122.0,4.0,9873.0,5.0
Bishops_Opening_Boi_Variation,0.015424164524421594,0.0078125,0.6,3.0,381.0,2.0,9614.0,5.0
Bishops_Opening_Berlin_Defense,0.015267175572519083,0.007936507936507936,0.2,1.0,125.0,4.0,9870.0,5.0
Caro-Kann_Defense_Classical_Variation,0.015151515151515152,0.007874015748031496,0.2,1.0,126.0,4.0,9869.0,5.0
English_Defense_Other_variations,0.01509433962264151,0.007874015748031496,0.18181818181818182,2.0,252.0,9.0,9737.0,11.0
English_Defense,0.014760147601476016,0.007692307692307693,0.18181818181818182,2.0,258.0,9.0,9731.0,11.0
Kings_Gambit_Accepted_Cunningham_Defense,0.014634146341463415,0.007444168734491315,0.42857142857142855,3.0,400.0,4.0,9593.0,7.0
Caro-Kann_Defense_Maroczy_Variation,0.014388489208633094,0.007518796992481203,0.16666666666666666,1.0,132.0,5.0,9862.0,6.0
Center_Game,0.014285714285714285,0.007633587786259542,0.1111111111111111,1.0,130.0,8.0,9861.0,9.0
Italian_Game_Other_variations,0.013377926421404682,0.006745362563237774,0.8,4.0,589.0,1.0,9406.0,5.0
Queens_Gambit_Declined_Modern_Variation,0.013311148086522463,0.006745362563237774,0.5,4.0,589.0,4.0,9403.0,8.0
Queens_Gambit_Declined_Albin_Countergambit,0.01312910284463895,0.006615214994487321,0.8571428571428571,6.0,901.0,1.0,9092.0,7.0
Ponziani_Opening,0.012698412698412697,0.006417112299465241,0.6,6.0,929.0,4.0,9061.0,10.0
Danish_Gambit_Accepted,0.01264822134387352,0.006369426751592357,0.8888888888888888,8.0,1248.0,1.0,8743.0,9.0
Bishops_Opening_Vienna_Hybrid,0.012526096033402923,0.006342494714587738,0.5,3.0,470.0,3.0,9524.0,6.0
Caro-Kann_Defense_Panov_Attack,0.012499999999999999,0.0063006300630063005,0.7777777777777778,7.0,1104.0,2.0,8887.0,9.0
Indian_Defense_London_System,0.012448132780082988,0.006289308176100629,0.6,3.0,474.0,2.0,9521.0,5.0
Queens_Gambit_Accepted_Old_Variation,0.012195121951219511,0.006329113924050633,0.16666666666666666,1.0,157.0,5.0,9837.0,6.0
Sicilian_Defense_French_Variation,0.011940298507462685,0.006018054162487462,0.75,6.0,991.0,2.0,9001.0,8.0
Queens_Gambit_Declined_Normal_Defense,0.01183431952662722,0.006006006006006006,0.4,2.0,331.0,3.0,9664.0,5.0
Queens_Gambit_Declined_Queens_Knight_Variation,0.011547344110854502,0.005813953488372093,0.8333333333333334,5.0,855.0,1.0,9139.0,6.0
Four_Knights_Game_Scotch_Variation_Accepted,0.011428571428571427,0.0057553956834532375,0.8,4.0,691.0,1.0,9304.0,5.0
Van_Geet_Opening,0.010738255033557048,0.005405405405405406,0.8,4.0,736.0,1.0,9259.0,5.0
Englund_Gambit_Complex_Englund_Gambit,0.010526315789473686,0.00529567519858782,0.8571428571428571,6.0,1127.0,1.0,8866.0,7.0
Sicilian_Defense_Delayed_Alapin_Variation,0.010221465076660989,0.005154639175257732,0.6,3.0,579.0,2.0,9416.0,5.0
Queens_Pawn_Game_Mason_Variation,0.010204081632653062,0.005154639175257732,0.5,3.0,579.0,3.0,9415.0,6.0
Sicilian_Defense_Nyezhmetdinov-Rossolimo_Attack,0.009942004971002486,0.004995836802664446,1.0,6.0,1195.0,0.0,8799.0,6.0
Sicilian_Defense_Smith-Morra_Gambit,0.0099009900990099,0.005154639175257732,0.125,1.0,193.0,7.0,9799.0,8.0
Grob_Opening,0.009876543209876543,0.004966887417218543,0.8571428571428571,6.0,1202.0,1.0,8791.0,7.0
English_Opening_Agincourt_Defense,0.009836065573770494,0.0049586776859504135,0.6,3.0,602.0,2.0,9393.0,5.0
Sicilian_Defense_Lasker-Pelikan_Variation,0.009732360097323601,0.0049079754601227,0.5714285714285714,4.0,811.0,3.0,9182.0,7.0
Caro-Kann_Defense_Hillbilly_Attack,0.009546539379474939,0.004830917874396135,0.4,2.0,412.0,3.0,9583.0,5.0
Dutch_Defense_Other_variations,0.009426551453260016,0.0047430830039525695,0.75,6.0,1259.0,2.0,8733.0,8.0
Ponziani_Opening_Jaenisch_Counterattack,0.009025270758122745,0.004541326067211626,0.7142857142857143,5.0,1096.0,2.0,8897.0,7.0
Zukertort_Opening_Tennison_Gambit,0.008968609865470854,0.004519774011299435,0.5714285714285714,4.0,881.0,3.0,9112.0,7.0
Danish_Gambit_Accepted_Copenhagen_Defense,0.008583690987124463,0.004314994606256742,0.8,4.0,923.0,1.0,9072.0,5.0
Sicilian_Defense_Smith-Morra_Gambit_Accepted,0.00847457627118644,0.004329004329004329,0.2,1.0,230.0,4.0,9765.0,5.0
Hungarian_Opening,0.008241758241758242,0.004160887656033287,0.42857142857142855,3.0,718.0,4.0,9275.0,7.0
Grob_Opening_Other_variations,0.007611798287345385,0.0038240917782026767,0.8,4.0,1042.0,1.0,8953.0,5.0
Rapport-Jobava_System_Other_variations,0.007272727272727273,0.003652300949598247,0.8333333333333334,5.0,1364.0,1.0,8630.0,6.0
Caro-Kann_Defense_Two_Knights_Attack,0.007220216606498194,0.0036319612590799033,0.6,3.0,823.0,2.0,9172.0,5.0
Queens_Gambit_Accepted_Other_variations,0.007215007215007214,0.0036231884057971015,0.8333333333333334,5.0,1375.0,1.0,8619.0,6.0
Polish_Opening,0.007202881152460985,0.0036319612590799033,0.42857142857142855,3.0,823.0,4.0,9170.0,7.0
French_Defense_Winawer_Variation,0.007168458781362006,0.003629764065335753,0.2857142857142857,2.0,549.0,5.0,9444.0,7.0
Rapport-Jobava_System,0.007163323782234958,0.0035971223021582736,0.8333333333333334,5.0,1385.0,1.0,8609.0,6.0
Torre_Attack,0.005970149253731343,0.0030303030303030303,0.2,1.0,329.0,4.0,9666.0,5.0
Englund_Gambit_Declined,0.005908419497784343,0.002976190476190476,0.4,2.0,670.0,3.0,9325.0,5.0
Hungarian_Opening_Other_variations,0.0041797283176593526,0.0020953378732320588,0.8,4.0,1905.0,1.0,8090.0,5.0
